AIRCRAFT_TYPE,Description,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
629,Canadair RJ-200ER /RJ-440,20397.0,PSA Airlines Inc.,2288898.0,231192.0,0.0,0.0
629,Canadair RJ-200ER /RJ-440,21712.0,Elite Airways LLC,4714.0,1265.0,3591.0,620.0
631,Canadair RJ-700,20304.0,SkyWest Airlines Inc.,9216958.0,4441960.0,7722279.0,7872589.0
631,Canadair RJ-700,20363.0,Endeavor Air Inc.,371530.0,350456.0,848383.0,646015.0
631,Canadair RJ-700,20366.0,ExpressJet Airlines LLC d/b/a aha!,6906.0,0.0,0.0,0.0
631,Canadair RJ-700,20378.0,Mesa Airlines Inc.,1946876.0,709407.0,22411.0,0.0
631,Canadair RJ-700,20397.0,PSA Airlines Inc.,4906107.0,2994571.0,4711110.0,4059896.0
631,Canadair RJ-700,20398.0,Envoy Air,794196.0,0.0,0.0,0.0
631,Canadair RJ-700,20500.0,GoJet Airlines LLC d/b/a United Express,3442080.0,166656.0,0.0,0.0
631,Canadair RJ-700,21712.0,Elite Airways LLC,11642.0,2234.0,10212.0,2092.0
632,Dornier 328 Jet,21879.0,Key Lime Air Corporation,51250.0,12063.0,26519.0,44836.0
634,Boeing 737-900,19930.0,Alaska Airlines Inc.,2064820.0,484358.0,1254664.0,1652035.0
634,Boeing 737-900,19977.0,United Air Lines Inc.,1794005.0,342684.0,21786.0,1647426.0
637,Boeing 777-300/300ER/333ER,19805.0,American Airlines Inc.,145990.0,165313.0,1186525.0,286537.0
637,Boeing 777-300/300ER/333ER,19977.0,United Air Lines Inc.,122834.0,90360.0,727052.0,1233696.0
638,Canadair CRJ 900,20304.0,SkyWest Airlines Inc.,4430704.0,1690075.0,3634533.0,4010183.0
638,Canadair CRJ 900,20363.0,Endeavor Air Inc.,10821560.0,5161363.0,9036371.0,8781932.0
638,Canadair CRJ 900,20378.0,Mesa Airlines Inc.,6678898.0,3077009.0,4300115.0,3385357.0
638,Canadair CRJ 900,20397.0,PSA Airlines Inc.,7631007.0,5184594.0,7641071.0,8016985.0
638,Canadair CRJ 900,20500.0,GoJet Airlines LLC d/b/a United Express,704867.0,55211.0,0.0,0.0
638,Canadair CRJ 900,21712.0,Elite Airways LLC,0.0,0.0,5829.0,909.0
655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,19790.0,Delta Air Lines Inc.,16295905.0,2086282.0,0.0,0.0
655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,19805.0,American Airlines Inc.,3252097.0,0.0,0.0,0.0
656,McDonnell Douglas MD-90,19790.0,Delta Air Lines Inc.,7326899.0,1002040.0,0.0,0.0
658,Bombardier BD-700 Global Express,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,21.0,0.0,0.0,0.0
669,Bombardier Challenger 604/605,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,2621.0,346.0,215.0,143.0
673,Embraer ERJ-175,19687.0,Horizon Air,2821640.0,1689842.0,2657172.0,2468273.0
673,Embraer ERJ-175,20304.0,SkyWest Airlines Inc.,13850961.0,8713174.0,16926333.0,20690159.0
673,Embraer ERJ-175,20366.0,ExpressJet Airlines LLC d/b/a aha!,502307.0,349371.0,0.0,0.0
673,Embraer ERJ-175,20378.0,Mesa Airlines Inc.,4910115.0,2561166.0,5051910.0,3892185.0
673,Embraer ERJ-175,20398.0,Envoy Air,5533228.0,4354132.0,8424033.0,9195663.0
673,Embraer ERJ-175,20452.0,Republic Airline,12666855.0,6568158.0,14952970.0,13130909.0
673,Embraer ERJ-175,21167.0,Compass Airlines,5732352.0,742402.0,0.0,0.0
674,Embraer-135,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,156967.0,74971.0,102574.0,129865.0
675,Embraer-145,20237.0,Trans States Airlines,2989477.0,596988.0,0.0,0.0
675,Embraer-145,20366.0,ExpressJet Airlines LLC d/b/a aha!,4540036.0,1205403.0,9441.0,36593.0
675,Embraer-145,20398.0,Envoy Air,4419911.0,2221453.0,3717760.0,3367713.0
675,Embraer-145,20427.0,Piedmont Airlines,4720270.0,1914449.0,3783927.0,3486949.0
675,Embraer-145,20445.0,CommuteAir LLC dba CommuteAir,2252648.0,969333.0,2890625.0,3174604.0
675,Embraer-145,21477.0,Via Airlines d/b/a Sterling Airways,7925.0,0.0,0.0,0.0
675,Embraer-145,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,0.0,271.0,16541.0,32290.0
675,Embraer-145,21879.0,Key Lime Air Corporation,0.0,1329.0,29853.0,91918.0
676,Embraer-140,20398.0,Envoy Air,3132943.0,1043623.0,132551.0,0.0
677,Embraer-Emb-170,20398.0,Envoy Air,0.0,0.0,104638.0,500872.0
677,Embraer-Emb-170,20452.0,Republic Airline,5236684.0,1961516.0,2550144.0,2310655.0
678,Embraer 190,19805.0,American Airlines Inc.,2400248.0,385907.0,0.0,0.0
678,Embraer 190,20409.0,JetBlue Airways,8124440.0,1787875.0,4265164.0,5725270.0
678,Embraer 190,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,204415.0,395448.0
685,Cessna 510 Mustang/560XL Citation Excel,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,3.0,0.0,0.0,0.0
687,Airbus Industrie A330-300/333,19790.0,Delta Air Lines Inc.,378258.0,172252.0,1010924.0,645643.0
687,Airbus Industrie A330-300/333,19805.0,American Airlines Inc.,152837.0,104351.0,0.0,0.0
694,Airbus Industrie A320-100/200,19790.0,Delta Air Lines Inc.,10527940.0,3347899.0,8028480.0,10672091.0
694,Airbus Industrie A320-100/200,19805.0,American Airlines Inc.,8248975.0,4257837.0,7116210.0,8232822.0
694,Airbus Industrie A320-100/200,19930.0,Alaska Airlines Inc.,4644874.0,1792957.0,2346365.0,3138861.0
694,Airbus Industrie A320-100/200,19977.0,United Air Lines Inc.,14883505.0,4769782.0,6581354.0,12236476.0
694,Airbus Industrie A320-100/200,20368.0,Allegiant Air,9384993.0,5979615.0,9861395.0,12691449.0
694,Airbus Industrie A320-100/200,20409.0,JetBlue Airways,15881376.0,5533341.0,10279198.0,13411900.0
694,Airbus Industrie A320-100/200,20416.0,Spirit Air Lines,15328917.0,7749662.0,11467875.0,11925061.0
694,Airbus Industrie A320-100/200,20436.0,Frontier Airlines Inc.,4754671.0,1817228.0,2941692.0,2467844.0
694,Airbus Industrie A320-100/200,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,0.0,4233.0
696,Airbus Industrie A330-200,19690.0,Hawaiian Airlines Inc.,1337847.0,357426.0,1000070.0,1434668.0
696,Airbus Industrie A330-200,19790.0,Delta Air Lines Inc.,32976.0,10942.0,598196.0,256284.0
696,Airbus Industrie A330-200,19805.0,American Airlines Inc.,441356.0,166130.0,0.0,0.0
698,Airbus Industrie A319,19790.0,Delta Air Lines Inc.,7873139.0,3151618.0,4695141.0,7720585.0
698,Airbus Industrie A319,19805.0,American Airlines Inc.,17118875.0,9612644.0,13804160.0,16125583.0
698,Airbus Industrie A319,19930.0,Alaska Airlines Inc.,3997945.0,217808.0,0.0,0.0
698,Airbus Industrie A319,19977.0,United Air Lines Inc.,9050945.0,3981477.0,6606671.0,9924264.0
698,Airbus Industrie A319,20368.0,Allegiant Air,5518504.0,2656552.0,3753630.0,4040690.0
698,Airbus Industrie A319,20416.0,Spirit Air Lines,4746645.0,1829493.0,2292128.0,4213834.0
698,Airbus Industrie A319,20436.0,Frontier Airlines Inc.,1398865.0,225136.0,136920.0,0.0
699,Airbus Industrie A321/Lr,19790.0,Delta Air Lines Inc.,19825959.0,9319562.0,21661666.0,28363646.0
699,Airbus Industrie A321/Lr,19805.0,American Airlines Inc.,39478595.0,17189470.0,31180048.0,39127297.0
699,Airbus Industrie A321/Lr,20409.0,JetBlue Airways,8032782.0,3047566.0,5361300.0,7280346.0
699,Airbus Industrie A321/Lr,20416.0,Spirit Air Lines,8050583.0,4026898.0,6394009.0,7258141.0
699,Airbus Industrie A321/Lr,20436.0,Frontier Airlines Inc.,5536426.0,2056523.0,4187022.0,4153111.0
721,Airbus Industrie A321-200n,19690.0,Hawaiian Airlines Inc.,744747.0,210972.0,704998.0,854999.0
721,Airbus Industrie A321-200n,19790.0,Delta Air Lines Inc.,0.0,0.0,0.0,651119.0
721,Airbus Industrie A321-200n,19805.0,American Airlines Inc.,561274.0,1241196.0,3829307.0,7880029.0
721,Airbus Industrie A321-200n,19930.0,Alaska Airlines Inc.,995195.0,607145.0,1074236.0,1268420.0
721,Airbus Industrie A321-200n,20409.0,JetBlue Airways,0.0,86647.0,1308578.0,1295226.0
721,Airbus Industrie A321-200n,20436.0,Frontier Airlines Inc.,0.0,0.0,0.0,61033.0
722,Airbus Industrie A320-200n,20416.0,Spirit Air Lines,2668167.0,2853825.0,6600326.0,9447013.0
722,Airbus Industrie A320-200n,20436.0,Frontier Airlines Inc.,10038427.0,6668704.0,12016869.0,16142673.0
723,A200-100 BD-500-1A10,19790.0,Delta Air Lines Inc.,1826517.0,1478027.0,3422483.0,5375541.0
724,A220-300 BD-500-1A11,19790.0,Delta Air Lines Inc.,0.0,11497.0,862302.0,1718338.0
724,A220-300 BD-500-1A11,20409.0,JetBlue Airways,0.0,0.0,299264.0,1372284.0
724,A220-300 BD-500-1A11,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,0.0,321110.0
748,Embraer EMB195,22080.0,Breeze Aviation Group DBA  Breeze,0.0,0.0,113955.0,319422.0
837,Boeing 787-10 Dreamliner,19977.0,United Air Lines Inc.,589828.0,276505.0,317941.0,749564.0
838,Boeing B737 Max 800,19393.0,Southwest Airlines Co.,1240897.0,0.0,5064637.0,6394872.0
838,Boeing B737 Max 800,19805.0,American Airlines Inc.,466632.0,853.0,2946293.0,3789081.0
838,Boeing B737 Max 800,19977.0,United Air Lines Inc.,0.0,0.0,737814.0,3070643.0
839,Boeing B737 Max 900,19930.0,Alaska Airlines Inc.,0.0,0.0,505241.0,3492537.0
839,Boeing B737 Max 900,19977.0,United Air Lines Inc.,294138.0,0.0,3949848.0,5618313.0
887,B787-800 Dreamliner,19805.0,American Airlines Inc.,661568.0,305731.0,751280.0,537155.0
887,B787-800 Dreamliner,19977.0,United Air Lines Inc.,211980.0,156365.0,266055.0,145892.0
888,Boeing 737-900ER,19790.0,Delta Air Lines Inc.,22719068.0,8550498.0,18160345.0,21791041.0
888,Boeing 737-900ER,19930.0,Alaska Airlines Inc.,11348232.0,4661885.0,9127923.0,10579724.0
888,Boeing 737-900ER,19977.0,United Air Lines Inc.,23791116.0,7726178.0,14484248.0,18775645.0
889,B787-900 Dreamliner,19805.0,American Airlines Inc.,444600.0,283656.0,740802.0,592157.0
889,B787-900 Dreamliner,19977.0,United Air Lines Inc.,137969.0,170542.0,561029.0,535928.0
