ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,93.0,,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,656,McDonnell Douglas MD-90,2046.0,144.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,694,Airbus Industrie A320-100/200,2614.0,625.0,8406.0,13051.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,698,Airbus Industrie A319,4461.0,2771.0,6850.0,1722.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,699,Airbus Industrie A321/Lr,839.0,28745.0,102185.0,163319.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,888,Boeing 737-900ER,137079.0,4255.0,176.0,306.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,614,Boeing 737-800,315778.0,70482.0,146268.0,282521.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,622,Boeing 757-200,181.0,176.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,626,Boeing 767-300/300ER,160.0,,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,12035.0,,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,694,Airbus Industrie A320-100/200,323.0,227.0,31369.0,34400.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,698,Airbus Industrie A319,17855.0,29055.0,34924.0,38327.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,699,Airbus Industrie A321/Lr,5624.0,2403.0,17379.0,47568.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,341.0,179.0,57.0,11816.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,614,Boeing 737-800,4970.0,4950.0,1418.0,19021.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,634,Boeing 737-900,688.0,2224.0,13745.0,8249.0
