ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
12335,IMT,MI,Ford,Iron Mountain/Kingsfd,664,697,727,718
12339,IND,IN,Indianapolis International,Indianapolis,51266,29706,37353,41388
12343,INL,MN,Falls International Einarson Field,International Falls,646,582,622,561
12365,IPT,PA,Williamsport Regional,Williamsport,701,296,205,0
12391,ISP,NY,Long Island MacArthur,Islip,6345,3382,4898,5128
12397,ITH,NY,Ithaca Tompkins International,Ithaca/Cortland,2901,1345,1503,1417
12441,JAC,WY,Jackson Hole,Jackson,4743,3849,6395,4703
12448,JAN,MS,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,8378,5010,8176,8607
12451,JAX,FL,Jacksonville International,Jacksonville,35091,17504,24914,28934
12478,JFK,NY,John F. Kennedy International,New York,125900,54047,82201,132508
12511,JLN,MO,Joplin Regional,Joplin,1336,834,795,629
12519,JMS,ND,Jamestown Regional,Jamestown,932,878,973,703
12544,USA,NC,Concord Padgett Regional,Concord,1357,898,1212,826
12884,LAN,MI,Capital Region International,Lansing,3932,2085,2475,1931
12888,LAR,WY,Laramie Regional,Laramie,598,566,616,586
12889,LAS,NV,Harry Reid International,Las Vegas,169233,106168,140775,174475
12891,LAW,OK,Lawton-Fort Sill Regional,Lawton/Fort Sill,1298,754,1135,1118
12892,LAX,CA,Los Angeles International,Los Angeles,249333,128656,175173,191194
12896,LBB,TX,Lubbock Preston Smith International,Lubbock,7405,4790,5818,6164
12898,LBE,PA,Arnold Palmer Regional,Latrobe,1094,671,1011,878
12899,LBF,NE,North Platte Regional Airport Lee Bird Field,North Platte,602,695,626,644
12902,LBL,KS,Liberal Mid-America Regional,Liberal,614,567,599,606
12915,LCH,LA,Lake Charles Regional,Lake Charles,1952,1229,1732,1733
12917,LCK,OH,Rickenbacker International,Columbus,1030,923,1122,965
12932,LEB,NH,Lebanon Municipal,Lebanon-Hanover,2048,2016,2050,2035
12945,LEX,KY,Blue Grass,Lexington,12268,7235,8596,8954
12951,LFT,LA,Lafayette Regional Paul Fournet Field,Lafayette,5104,3408,4762,4923
12953,LGA,NY,LaGuardia,New York,167083,63593,86431,162197
12954,LGB,CA,Long Beach Airport,Long Beach,15975,8192,11945,15327
12992,LIT,AR,Bill and Hillary Clinton Nat Adams Field,Little Rock,15137,8856,11727,12287
13002,LKE,WA,Lake Union Terminal,Seattle,3652,1286,2400,2600
13029,LNK,NE,Lincoln Airport,Lincoln,3678,1786,2303,2138
13061,LRD,TX,Laredo International,Laredo,2643,1547,2199,2120
13076,LSE,WI,La Crosse Regional,La Crosse,2151,1485,2100,1398
13121,LWB,WV,Greenbrier Valley,Lewisburg,636,554,656,610
13127,LWS,ID,Lewiston Nez Perce County,Lewiston,993,694,1008,1027
13139,LYH,VA,Lynchburg Regional/Preston Glenn Field,Lynchburg,2146,1289,1728,1753
13158,MAF,TX,Midland International Air and Space Port,Midland/Odessa,9775,6156,7731,8762
13184,MBS,MI,MBS International,Saginaw/Bay City/Midland,2935,1747,1770,1621
13198,MCI,MO,Kansas City International,Kansas City,55040,30786,37446,43743
13203,MCN,GA,Middle Georgia Regional,Macon,743,626,654,602
13204,MCO,FL,Orlando International,Orlando,144337,92723,133612,145614
13230,MDT,PA,Harrisburg International,Harrisburg,11375,7177,8940,8455
13232,MDW,IL,Chicago Midway International,Chicago,81023,54809,62893,74349
13241,MEI,MS,Key Field,Meridian,952,611,602,786
13244,MEM,TN,Memphis International,Memphis,28364,16336,20716,21787
13256,MFE,TX,McAllen Miller International,Mission/McAllen/Edinburg,5465,3272,4731,4393
13264,MFR,OR,Rogue Valley International - Medford,Medford,8931,6147,8050,7772
13277,MGM,AL,Montgomery Regional,Montgomery,4679,2856,3609,3289
13290,MHK,KS,Manhattan Regional,Manhattan/Ft. Riley,1931,900,1421,1694
13296,MHT,NH,Manchester Boston Regional,Manchester,10869,5803,6263,7378
13303,MIA,FL,Miami International,Miami,88522,54027,91082,104355
13342,MKE,WI,General Mitchell International,Milwaukee,34769,20446,25461,26621
13344,MKG,MI,Muskegon County,Muskegon,696,602,705,754
13360,MLB,FL,Melbourne Orlando International,Melbourne,2670,1978,2630,2476
13367,MLI,IL,Quad Cities International,Moline,6587,3705,4336,4385
13377,MLU,LA,Monroe Regional,Monroe,2911,2049,2434,1989
13388,MMH,CA,Mammoth Lakes Airport,Mammoth Lakes,452,201,32,375
13422,MOB,AL,Mobile Regional,Mobile,6717,4361,5184,4696
13433,MOT,ND,Minot International,Minot,2866,2172,2763,2228
13459,MQT,MI,Sawyer International,Marquette,1378,1073,1456,1061
13476,MRY,CA,Monterey Regional,Monterey,4758,2496,3613,4108
13485,MSN,WI,Dane County Regional-Truax Field,Madison,16039,9085,10908,11758
13486,MSO,MT,Missoula Montana,Missoula,5838,4321,5977,4716
13487,MSP,MN,Minneapolis-St Paul International,Minneapolis,171588,103368,130128,128527
