ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
10990,CHO,VA,Charlottesville Albemarle,Charlottesville,385906.0,131220.0,212263.0,260607.0
10994,CHS,SC,Charleston AFB/International,Charleston,2385037.0,950924.0,2034068.0,2622525.0
10996,CHU,AK,Chuathbaluk Airport,Chuathbaluk,448.0,59.0,51.0,72.0
11003,CID,IA,The Eastern Iowa,Cedar Rapids/Iowa City,667410.0,309232.0,528108.0,607504.0
11007,CIK,AK,Chalkyitsik Airport,Chalkyitsik,1008.0,484.0,570.0,659.0
11013,CIU,MI,Chippewa County International,Sault Ste. Marie,24380.0,10613.0,17308.0,22197.0
11027,CKB,WV,North Central West Virginia,Clarksburg/Fairmont,39439.0,16307.0,34976.0,48315.0
11028,CKD,AK,Crooked Creek Airport,Crooked Creek,331.0,56.0,47.0,41.0
11036,CKX,AK,Chicken Airport,Chicken,23.0,19.0,30.0,33.0
11041,CLD,CA,McClellan-Palomar,Carlsbad,0.0,0.0,783.0,3283.0
11042,CLE,OH,Cleveland-Hopkins International,Cleveland,4850296.0,1978265.0,3529743.0,4170660.0
11049,CLL,TX,Easterwood Field,College Station/Bryan,82365.0,38933.0,64438.0,51744.0
11053,CLP,AK,Clarks Point Airport,Clarks Point,699.0,500.0,550.0,987.0
11057,CLT,NC,Charlotte Douglas International,Charlotte,22442113.0,12543953.0,19912462.0,21385545.0
11066,CMH,OH,John Glenn Columbus International,Columbus,4170553.0,1582949.0,2830664.0,3601597.0
11067,CMI,IL,University of Illinois/Willard,Champaign/Urbana,103063.0,34291.0,54452.0,62360.0
11076,CMX,MI,Houghton County Memorial,Hancock/Houghton,24371.0,11838.0,20907.0,22556.0
11085,CNM,NM,Cavern City Air Terminal,Carlsbad,5190.0,2961.0,4565.0,5375.0
11092,CNY,UT,Canyonlands Regional,Moab,16514.0,8320.0,20059.0,18809.0
11097,COD,WY,Yellowstone Regional,Cody,41380.0,20494.0,37346.0,37784.0
11109,COS,CO,City of Colorado Springs Municipal,Colorado Springs,858185.0,365318.0,983569.0,1126339.0
11111,COU,MO,Columbia Regional,Columbia,127803.0,49311.0,78124.0,78642.0
11122,CPR,WY,Casper/Natrona County International,Casper,97453.0,44620.0,67133.0,73019.0
11123,CPS,MO,Bi-State Parks,St. Louis,0.0,0.0,0.0,0.0
11126,CPX,PR,Benjamin Rivera Noriega,Culebra,22051.0,13012.0,24687.0,20663.0
11140,CRP,TX,Corpus Christi International,Corpus Christi,329034.0,160998.0,287829.0,320084.0
11146,CRW,WV,West Virginia International Yeager,Charleston/Dunbar,225609.0,91818.0,148370.0,163906.0
11150,CSG,GA,Columbus Airport,Columbus,52337.0,22396.0,48736.0,76963.0
11193,CVG,KY,Cincinnati/Northern Kentucky International,Cincinnati,4294130.0,1712782.0,3041284.0,3629527.0
11197,CVN,NM,Clovis Regional,Clovis,5374.0,2643.0,7575.0,13113.0
11203,CWA,WI,Central Wisconsin,Mosinee,138232.0,55870.0,97301.0,76686.0
11214,CXF,AK,Coldfoot Airport,Coldfoot,692.0,302.0,493.0,686.0
11227,CYF,AK,Chefornak Airport,Chefornak,5753.0,2163.0,2956.0,4207.0
11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,23276.0,3791.0,4161.0,21696.0
11241,CZF,AK,Cape Romanzof LRRS,Cape Romanzof,0.0,0.0,0.0,0.0
11245,CZN,AK,Chisana Airport,Chisana,44.0,57.0,73.0,61.0
11252,DAB,FL,Daytona Beach International,Daytona Beach,336568.0,161067.0,273400.0,280402.0
11259,DAL,TX,Dallas Love Field,Dallas,8384847.0,3811898.0,6705426.0,8038533.0
11267,DAY,OH,James M Cox/Dayton International,Dayton,843696.0,316831.0,516127.0,556461.0
11274,DBQ,IA,Dubuque Regional,Dubuque,36521.0,11049.0,17995.0,14438.0
11278,DCA,VA,Ronald Reagan Washington National,Washington,11434096.0,3618383.0,6725931.0,11435615.0
11280,DCK,AK,Dahl Creek Airport,Dahl Creek,0.0,0.0,0.0,8.0
11283,DDC,KS,Dodge City Regional,Dodge City,4968.0,2849.0,8243.0,8428.0
11288,DEC,IL,Decatur Airport,Decatur,8485.0,3548.0,8872.0,16929.0
11292,DEN,CO,Denver International,Denver,32315710.0,15912077.0,27956210.0,32416349.0
11298,DFW,TX,Dallas/Fort Worth International,Dallas/Fort Worth,31234022.0,16971199.0,27119834.0,30651945.0
11299,DGB,AK,Danger Bay Airport,Danger Bay,0.0,0.0,0.0,0.0
11308,DHN,AL,Dothan Regional,Dothan,58166.0,23858.0,37089.0,38315.0
11315,DIK,ND,Dickinson - Theodore Roosevelt Regional,Dickinson,23901.0,11377.0,17440.0,21606.0
11336,DLG,AK,Dillingham Airport,Dillingham,38077.0,16914.0,28368.0,31547.0
11337,DLH,MN,Duluth International,Duluth,154380.0,64472.0,108425.0,117805.0
11348,DMN,NM,Deming Municipal,Deming,0.0,0.0,8.0,3.0
11367,DOF,AK,Dora Bay Airport,Dora Bay,24.0,22.0,18.0,10.0
11392,DQL,AK,Lake Hood,Anchorage,179.0,56.0,0.0,0.0
11401,DQU,AK,Neets Bay,Ketchikan,2685.0,0.0,4.0,2010.0
11411,DRG,AK,Deering Airport,Deering,2879.0,996.0,1919.0,2647.0
11413,DRO,CO,Durango La Plata County,Durango,195740.0,99509.0,205856.0,183470.0
11415,DRT,TX,Del Rio International,Del Rio,22439.0,8335.0,19879.0,26629.0
11421,DSI,FL,Destin Executive,Destin,828.0,253.0,206.0,58.0
11423,DSM,IA,Des Moines International,Des Moines,1437514.0,636868.0,1067159.0,1381100.0
11431,DTR,WA,Decatur,Decatur Island,0.0,10.0,132.0,0.0
11433,DTW,MI,Detroit Metro Wayne County,Detroit,16310227.0,6394748.0,11036128.0,12671743.0
11441,DUJ,PA,DuBois Regional,DuBois,5825.0,2451.0,4557.0,6190.0
11445,DUT,AK,Unalaska Airport,Unalaska,24195.0,4642.0,14929.0,17617.0
11447,DVL,ND,Devils Lake Regional,Devils Lake,9357.0,5291.0,8722.0,11361.0
11450,DVT,AZ,Phoenix - Deer Valley,Phoenix,0.0,0.0,0.0,0.0
11463,EAA,AK,Eagle Airport,Eagle,597.0,328.0,396.0,609.0
11468,EAR,NE,Kearney Regional,Kearney,21309.0,11858.0,25253.0,22209.0
11470,EAT,WA,Pangborn Memorial,Wenatchee,64610.0,28095.0,48338.0,34830.0
11471,EAU,WI,Chippewa Valley Regional,Eau Claire,22590.0,9201.0,18600.0,16151.0
11481,ECP,FL,Northwest Florida Beaches International,Panama City,628337.0,404930.0,813011.0,755067.0
11484,EDA,AK,Edna Bay Airport,Edna Bay,175.0,128.0,121.0,80.0
11492,EEK,AK,Eek Airport,Eek,5592.0,1858.0,2637.0,4210.0
11503,EGE,CO,Eagle County Regional,Eagle,190743.0,143276.0,201305.0,214574.0
11511,EGX,AK,Egegik Airport,Egegik,829.0,214.0,270.0,679.0
11512,EHM,AK,Cape Newenham LRRS,Cape Newenham,0.0,0.0,0.0,0.0
11525,EKO,NV,Elko Regional,Elko,19966.0,10351.0,15626.0,8443.0
11531,ELD,AR,South Arkansas Regional at Goodwin Field,El Dorado,4064.0,2427.0,3078.0,3923.0
11535,ELI,AK,Elim Airport,Elim,3941.0,1901.0,2701.0,3442.0
11537,ELM,NY,Elmira/Corning Regional,Elmira/Corning,156385.0,51364.0,76920.0,81817.0
11540,ELP,TX,El Paso International,El Paso,1777859.0,729185.0,1426376.0,1918218.0
11545,ELV,AK,Elfin Cove Seaplane Base,Elfin Cove,478.0,263.0,546.0,384.0
11550,EMK,AK,Emmonak Airport,Emmonak,8145.0,2903.0,5606.0,8315.0
11555,ENA,AK,Kenai Municipal,Kenai,95178.0,33193.0,69445.0,75019.0
11559,ENN,AK,Nenana Municipal,Nenana,0.0,0.0,2.0,38.0
11563,ENV,UT,Wendover Airport,Wendover,0.0,0.0,34.0,0.0
11577,ERI,PA,Erie International/Tom Ridge Field,Erie,106576.0,46272.0,68944.0,61825.0
11587,ESC,MI,Delta County,Escanaba,18726.0,8185.0,14780.0,20583.0
11588,ESD,WA,Orcas Island,Eastsound,7215.0,2980.0,7154.0,8256.0
11603,EUG,OR,Mahlon Sweet Field,Eugene,591671.0,264709.0,561465.0,778187.0
11612,EVV,IN,Evansville Regional,Evansville,243029.0,104589.0,164932.0,152575.0
11615,EWB,MA,New Bedford Regional,New Bedford/Fall River,4220.0,1769.0,3342.0,2110.0
11617,EWN,NC,Coastal Carolina Regional,New Bern/Morehead/Beaufort,114204.0,56081.0,76291.0,64193.0
11618,EWR,NJ,Newark Liberty International,Newark,16091099.0,6106241.0,11282549.0,15498077.0
11619,EXI,AK,Excursion Inlet Seaplane Base,Excursion Inlet,137.0,47.0,70.0,77.0
11624,EYW,FL,Key West International,Key West,483510.0,322862.0,723556.0,692845.0
11630,FAI,AK,Fairbanks International,Fairbanks,568046.0,235013.0,449174.0,501082.0
11637,FAR,ND,Hector International,Fargo,475703.0,240933.0,403484.0,458530.0
11638,FAT,CA,Fresno Yosemite International,Fresno,828923.0,401726.0,830572.0,919158.0
11641,FAY,NC,Fayetteville Regional/Grannis Field,Fayetteville,217055.0,121203.0,186844.0,164879.0
11643,FBK,AK,Ladd AAF,Fairbanks,0.0,12.0,0.0,0.0
11646,FBS,WA,Friday Harbor Seaplane Base,Friday Harbor,0.0,2540.0,9547.0,8086.0
11648,FCA,MT,Glacier Park International,Kalispell,355852.0,215618.0,418166.0,420742.0
11650,FCM,MN,Flying Cloud,Minneapolis,5.0,0.0,0.0,0.0
11684,FKL,PA,Venango Regional,Franklin/Oil City,1669.0,0.0,0.0,0.0
11695,FLG,AZ,Flagstaff Pulliam,Flagstaff,119026.0,61199.0,114186.0,91347.0
11697,FLL,FL,Fort Lauderdale-Hollywood International,Fort Lauderdale,13786875.0,6629188.0,11677973.0,12305521.0
11699,FLO,SC,Florence Regional,Florence,43998.0,13598.0,23273.0,29340.0
11702,FLT,AK,Flat Airport,Flat,5.0,0.0,4.0,0.0
11711,FMN,NM,Four Corners Regional,Farmington,1.0,0.0,0.0,0.0
11719,FNL,CO,Northern Colorado Regional,Fort Collins/Loveland,0.0,0.0,2671.0,10170.0
11721,FNT,MI,Bishop International,Flint,300978.0,176639.0,240510.0,299184.0
11725,FOD,IA,Fort Dodge Regional,Fort Dodge,8042.0,3702.0,7040.0,7329.0
11726,FOE,KS,Topeka Regional,Topeka,46.0,0.0,0.0,0.0
11762,FRD,WA,Friday Harbor Airport,Friday Harbor,11474.0,4308.0,10236.0,10311.0
11775,FSD,SD,Joe Foss Field,Sioux Falls,577065.0,293942.0,499374.0,604942.0
11778,FSM,AR,Fort Smith Regional,Fort Smith,92394.0,37042.0,46094.0,59914.0
11789,FTW,TX,Fort Worth Meacham International,Dallas/Fort Worth,0.0,0.0,0.0,0.0
11813,FVQ,AK,Donlin Creek Mine Airport,Donlin Creek Mine,0.0,4.0,0.0,0.0
11823,FWA,IN,Fort Wayne International,Fort Wayne,401815.0,214541.0,334677.0,358208.0
11827,FXE,FL,Fort Lauderdale Executive,Fort Lauderdale,288.0,0.0,0.0,5.0
11833,FYU,AK,Fort Yukon Airport,Fort Yukon,8907.0,3380.0,4891.0,5814.0
11844,GAL,AK,Edward G. Pitka Sr.,Galena,12036.0,4262.0,7987.0,10357.0
11845,GAM,AK,Gambell Airport,Gambell,4004.0,1989.0,2805.0,3624.0
11859,GBH,AK,Galbraith Lake Airport,Galbraith Lake,0.0,13.0,0.0,19.0
11865,GCC,WY,Northeast Wyoming Regional,Gillette,29480.0,15194.0,23816.0,24239.0
11867,GCK,KS,Garden City Regional,Garden City,25206.0,16121.0,27061.0,29230.0
11869,GCN,AZ,Grand Canyon National Park,Grand Canyon,1125.0,0.0,0.0,0.0
11879,GDV,MT,Dawson Community,Glendive,2568.0,1561.0,2126.0,4313.0
11884,GEG,WA,Spokane International,Spokane,1950460.0,916469.0,1591262.0,1909019.0
11898,GFK,ND,Grand Forks International,Grand Forks,116079.0,46397.0,66613.0,87700.0
11905,GGG,TX,East Texas Regional,Longview,28806.0,14638.0,24064.0,26199.0
11908,GGW,MT,Wokal Field Glasgow Valley County,Glasgow,4001.0,2660.0,3330.0,2982.0
11921,GJT,CO,Grand Junction Regional,Grand Junction,262325.0,141537.0,261770.0,232197.0
11924,GKN,AK,Gulkana Airport,Gulkana,355.0,138.0,408.0,400.0
11931,GLH,MS,Greenville Mid Delta,Greenville,4747.0,3112.0,5567.0,9509.0
11941,GLV,AK,Golovin Airport,Golovin,3562.0,1675.0,2586.0,3103.0
11952,GNU,AK,Goodnews,Goodnews Bay,1205.0,333.0,510.0,848.0
11953,GNV,FL,Gainesville Regional,Gainesville,269915.0,123943.0,197311.0,262174.0
11973,GPT,MS,Gulfport-Biloxi International,Gulfport/Biloxi,285878.0,143565.0,218197.0,244101.0
11977,GRB,WI,Green Bay Austin Straubel International,Green Bay,340804.0,137587.0,258730.0,295416.0
