ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
10257,ALB,"Albany, NY: Albany International",20368.0,Allegiant Air,78107.0,28781.0,50033.0,71337.0
10257,ALB,"Albany, NY: Albany International",20378.0,Mesa Airlines Inc.,7550.0,254.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",20397.0,PSA Airlines Inc.,56662.0,23311.0,66638.0,62989.0
10257,ALB,"Albany, NY: Albany International",20398.0,Envoy Air,26771.0,13132.0,7012.0,25800.0
10257,ALB,"Albany, NY: Albany International",20409.0,JetBlue Airways,92886.0,29507.0,76017.0,91298.0
10257,ALB,"Albany, NY: Albany International",20427.0,Piedmont Airlines,89248.0,36669.0,59139.0,57599.0
10257,ALB,"Albany, NY: Albany International",20436.0,Frontier Airlines Inc.,60588.0,16692.0,31829.0,37912.0
10257,ALB,"Albany, NY: Albany International",20445.0,CommuteAir LLC dba CommuteAir,85056.0,30560.0,47500.0,44818.0
10257,ALB,"Albany, NY: Albany International",20452.0,Republic Airline,11639.0,19893.0,42574.0,41473.0
10257,ALB,"Albany, NY: Albany International",20500.0,GoJet Airlines LLC d/b/a United Express,13869.0,282.0,18761.0,13665.0
10257,ALB,"Albany, NY: Albany International",22081.0,"Tailwind Air, LLC",0.0,0.0,4.0,0.0
10268,ALO,"Waterloo, IA: Waterloo Regional",20304.0,SkyWest Airlines Inc.,0.0,0.0,6.0,0.0
10268,ALO,"Waterloo, IA: Waterloo Regional",20398.0,Envoy Air,22302.0,6970.0,12788.0,14903.0
10275,ALW,"Walla Walla, WA: Walla Walla Regional",19687.0,Horizon Air,49259.0,20178.0,39138.0,33814.0
10275,ALW,"Walla Walla, WA: Walla Walla Regional",21599.0,Boutique Air,0.0,0.0,0.0,0.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",19393.0,Southwest Airlines Co.,171383.0,78027.0,137883.0,207735.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",19687.0,Horizon Air,73.0,0.0,0.0,0.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",19805.0,American Airlines Inc.,21541.0,5765.0,23416.0,18991.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",19977.0,United Air Lines Inc.,153.0,0.0,0.0,446.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",20237.0,Trans States Airlines,24156.0,4258.0,0.0,0.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",20304.0,SkyWest Airlines Inc.,2840.0,8255.0,40270.0,64774.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",20366.0,ExpressJet Airlines LLC d/b/a aha!,32150.0,6186.0,0.0,0.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",20368.0,Allegiant Air,0.0,0.0,2038.0,3593.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",20378.0,Mesa Airlines Inc.,87130.0,37502.0,72266.0,26764.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",20398.0,Envoy Air,26283.0,32547.0,34551.0,44972.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",20422.0,Sun Country Airlines d/b/a MN Airlines,180.0,0.0,0.0,0.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",20445.0,CommuteAir LLC dba CommuteAir,0.0,5457.0,8237.0,12630.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",21477.0,Via Airlines d/b/a Sterling Airways,391.0,0.0,0.0,0.0
10333,APN,"Alpena, MI: Alpena County Regional",20304.0,SkyWest Airlines Inc.,12439.0,6437.0,11792.0,13866.0
10361,ART,"Watertown, NY: Watertown International",20397.0,PSA Airlines Inc.,6954.0,0.0,0.0,0.0
10361,ART,"Watertown, NY: Watertown International",20427.0,Piedmont Airlines,15512.0,11563.0,19823.0,20243.0
10372,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",20304.0,SkyWest Airlines Inc.,307146.0,183805.0,247784.0,299068.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393.0,Southwest Airlines Co.,4662783.0,2123824.0,3438410.0,3856131.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,34426126.0,12758878.0,23498758.0,30084024.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805.0,American Airlines Inc.,1402271.0,577417.0,876048.0,893088.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19930.0,Alaska Airlines Inc.,98118.0,40528.0,91371.0,132154.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977.0,United Air Lines Inc.,458847.0,210754.0,276911.0,560807.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20046.0,Air Wisconsin Airlines Corp,915.0,444.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20304.0,SkyWest Airlines Inc.,1242080.0,249670.0,49497.0,393742.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20363.0,Endeavor Air Inc.,2244967.0,1409290.0,2715301.0,1341590.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20366.0,ExpressJet Airlines LLC d/b/a aha!,29888.0,16289.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20378.0,Mesa Airlines Inc.,124713.0,48028.0,94195.0,109556.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20397.0,PSA Airlines Inc.,81483.0,56572.0,74273.0,89028.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20398.0,Envoy Air,24400.0,4057.0,48584.0,90981.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20409.0,JetBlue Airways,381317.0,118669.0,219982.0,231737.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20416.0,Spirit Air Lines,1418658.0,895344.0,1320640.0,1514380.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20422.0,Sun Country Airlines d/b/a MN Airlines,0.0,167.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20427.0,Piedmont Airlines,38.0,0.0,47.0,31.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20436.0,Frontier Airlines Inc.,627580.0,308696.0,746866.0,1120938.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20445.0,CommuteAir LLC dba CommuteAir,0.0,0.0,0.0,35.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20452.0,Republic Airline,342972.0,206995.0,604289.0,297592.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20500.0,GoJet Airlines LLC d/b/a United Express,37126.0,705.0,0.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21253.0,"Multi-Aero, Inc. d/b/a Air Choice One",1930.0,1242.0,422.0,0.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21599.0,Boutique Air,6801.0,3291.0,3786.0,1069.0
10397,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21618.0,"Southern Airways Express, dba Mokulele Airlines",0.0,0.0,0.0,2216.0
10408,ATW,"Appleton, WI: Appleton International",19790.0,Delta Air Lines Inc.,28573.0,9477.0,30460.0,35590.0
10408,ATW,"Appleton, WI: Appleton International",20046.0,Air Wisconsin Airlines Corp,84187.0,35189.0,73881.0,64717.0
10408,ATW,"Appleton, WI: Appleton International",20237.0,Trans States Airlines,152.0,0.0,0.0,0.0
10408,ATW,"Appleton, WI: Appleton International",20304.0,SkyWest Airlines Inc.,102746.0,16325.0,24884.0,61884.0
