ORIGIN_AIRPORT_ID,CODE,NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10158,ACY,"Atlantic City, NJ: Atlantic City International",722,Airbus Industrie A320-200n,27879.0,56940.0,143163.0,61307.0
10158,ACY,"Atlantic City, NJ: Atlantic City International",888,Boeing 737-900ER,328.0,0.0,0.0,0.0
10185,AEX,"Alexandria, LA: Alexandria International",614,Boeing 737-800,87.0,0.0,143.0,106.0
10185,AEX,"Alexandria, LA: Alexandria International",629,Canadair RJ-200ER /RJ-440,52569.0,25457.0,32136.0,32598.0
10185,AEX,"Alexandria, LA: Alexandria International",631,Canadair RJ-700,272.0,1230.0,10643.0,24598.0
10185,AEX,"Alexandria, LA: Alexandria International",638,Canadair CRJ 900,188.0,216.0,2460.0,6501.0
10185,AEX,"Alexandria, LA: Alexandria International",673,Embraer ERJ-175,0.0,0.0,0.0,0.0
10185,AEX,"Alexandria, LA: Alexandria International",675,Embraer-145,34300.0,23207.0,51226.0,32899.0
10185,AEX,"Alexandria, LA: Alexandria International",676,Embraer-140,31395.0,13180.0,1146.0,0.0
10185,AEX,"Alexandria, LA: Alexandria International",694,Airbus Industrie A320-100/200,0.0,0.0,29.0,0.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",608,Boeing 717-200,19641.0,14559.0,26781.0,5169.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",612,Boeing 737-700/700LR/Max 7,0.0,44.0,0.0,122.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",614,Boeing 737-800,0.0,0.0,841.0,1707.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",622,Boeing 757-200,2705.0,470.0,585.0,532.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",626,Boeing 767-300/300ER,0.0,0.0,0.0,207.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",629,Canadair RJ-200ER /RJ-440,63623.0,11198.0,6571.0,507.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",631,Canadair RJ-700,63461.0,16993.0,31322.0,34347.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",638,Canadair CRJ 900,62015.0,73694.0,127441.0,157718.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,80024.0,0.0,0.0,0.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",656,McDonnell Douglas MD-90,1001.0,124.0,0.0,0.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",673,Embraer ERJ-175,12029.0,19036.0,13081.0,36960.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",675,Embraer-145,26157.0,18010.0,44446.0,32464.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",676,Embraer-140,0.0,70.0,0.0,0.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",677,Embraer-Emb-170,0.0,0.0,0.0,56.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",687,Airbus Industrie A330-300/333,0.0,0.0,0.0,161.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",694,Airbus Industrie A320-100/200,143.0,0.0,202.0,852.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",698,Airbus Industrie A319,0.0,0.0,0.0,108.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",699,Airbus Industrie A321/Lr,179.0,62.0,483.0,327.0
10208,AGS,"Augusta, GA: Augusta Regional at Bush Field",888,Boeing 737-900ER,230.0,0.0,571.0,691.0
10257,ALB,"Albany, NY: Albany International",125,Cessna C-402/402A/402B,3201.0,0.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",415,Cessna C208B/Grand Caravan,0.0,0.0,4.0,0.0
10257,ALB,"Albany, NY: Albany International",530,Bombardier CRJ550,0.0,282.0,18761.0,13665.0
10257,ALB,"Albany, NY: Albany International",608,Boeing 717-200,12068.0,8099.0,27660.0,3103.0
10257,ALB,"Albany, NY: Albany International",612,Boeing 737-700/700LR/Max 7,321584.0,118433.0,137880.0,134743.0
10257,ALB,"Albany, NY: Albany International",614,Boeing 737-800,218863.0,65535.0,180673.0,228149.0
10257,ALB,"Albany, NY: Albany International",622,Boeing 757-200,1293.0,0.0,148.0,0.0
10257,ALB,"Albany, NY: Albany International",626,Boeing 767-300/300ER,386.0,0.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",629,Canadair RJ-200ER /RJ-440,60196.0,11283.0,7216.0,3834.0
10257,ALB,"Albany, NY: Albany International",631,Canadair RJ-700,74334.0,24568.0,60111.0,53188.0
10257,ALB,"Albany, NY: Albany International",634,Boeing 737-900,0.0,0.0,0.0,131.0
10257,ALB,"Albany, NY: Albany International",638,Canadair CRJ 900,71805.0,40545.0,70605.0,137964.0
10257,ALB,"Albany, NY: Albany International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,85875.0,22415.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",656,McDonnell Douglas MD-90,19638.0,510.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",673,Embraer ERJ-175,24914.0,32501.0,54231.0,49754.0
10257,ALB,"Albany, NY: Albany International",675,Embraer-145,182767.0,70943.0,106639.0,106104.0
10257,ALB,"Albany, NY: Albany International",676,Embraer-140,100.0,0.0,0.0,0.0
10257,ALB,"Albany, NY: Albany International",677,Embraer-Emb-170,127.0,2263.0,1967.0,19667.0
10257,ALB,"Albany, NY: Albany International",678,Embraer 190,382.0,158.0,13215.0,5874.0
10257,ALB,"Albany, NY: Albany International",694,Airbus Industrie A320-100/200,213433.0,75261.0,204651.0,375956.0
10257,ALB,"Albany, NY: Albany International",698,Airbus Industrie A319,145044.0,31495.0,36805.0,63108.0
10257,ALB,"Albany, NY: Albany International",699,Airbus Industrie A321/Lr,8232.0,1502.0,6425.0,20825.0
10257,ALB,"Albany, NY: Albany International",721,Airbus Industrie A321-200n,180.0,0.0,897.0,1956.0
10257,ALB,"Albany, NY: Albany International",722,Airbus Industrie A320-200n,36062.0,12289.0,19940.0,30195.0
10257,ALB,"Albany, NY: Albany International",723,A200-100 BD-500-1A10,101.0,0.0,105.0,275.0
10257,ALB,"Albany, NY: Albany International",838,Boeing B737 Max 800,2117.0,0.0,17332.0,22848.0
10257,ALB,"Albany, NY: Albany International",839,Boeing B737 Max 900,0.0,0.0,0.0,430.0
10257,ALB,"Albany, NY: Albany International",888,Boeing 737-900ER,23737.0,3600.0,3816.0,11387.0
10268,ALO,"Waterloo, IA: Waterloo Regional",629,Canadair RJ-200ER /RJ-440,0.0,0.0,6.0,0.0
10268,ALO,"Waterloo, IA: Waterloo Regional",675,Embraer-145,21346.0,6718.0,12788.0,14903.0
10268,ALO,"Waterloo, IA: Waterloo Regional",676,Embraer-140,956.0,252.0,0.0,0.0
10275,ALW,"Walla Walla, WA: Walla Walla Regional",479,Pilatus PC-12,0.0,0.0,0.0,0.0
10275,ALW,"Walla Walla, WA: Walla Walla Regional",482,De Havilland DHC8-400 Dash-8,49259.0,20178.0,39138.0,33814.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",612,Boeing 737-700/700LR/Max 7,167334.0,75612.0,119886.0,193061.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",614,Boeing 737-800,5478.0,7240.0,16841.0,14007.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",627,Boeing 777-200ER/200LR/233LR,0.0,0.0,0.0,339.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",629,Canadair RJ-200ER /RJ-440,2847.0,8117.0,38041.0,31915.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",631,Canadair RJ-700,63.0,138.0,2041.0,32622.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",638,Canadair CRJ 900,87025.0,37502.0,72266.0,26764.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,8880.0,0.0,0.0,0.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",673,Embraer ERJ-175,26223.0,19081.0,29973.0,44067.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",675,Embraer-145,56696.0,20667.0,10973.0,13720.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",676,Embraer-140,169.0,8700.0,1795.0,0.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",677,Embraer-Emb-170,0.0,0.0,235.0,52.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",694,Airbus Industrie A320-100/200,0.0,0.0,1349.0,3137.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",698,Airbus Industrie A319,10239.0,0.0,21708.0,15230.0
10279,AMA,"Amarillo, TX: Rick Husband Amarillo International",699,Airbus Industrie A321/Lr,1113.0,798.0,1212.0,3284.0
