ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,DEST_AIRPORT_ID,DEST,hub_cat_dest,NAME_DEST,DEST_STATE_ABR,2019,2020,2021,2022
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10136,ABI,N,Abilene Regional,TX,1.0,,1.0,1.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10272,ALS,,,CO,4.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10372,ASE,N,Aspen Pitkin County Sardy Field,CO,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10397,ATL,L,Hartsfield-Jackson Atlanta International,GA,876.0,347.0,685.0,1064.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10423,AUS,L,Austin - Bergstrom International,TX,383.0,195.0,289.0,823.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10693,BNA,L,Nashville International,TN,3.0,,2.0,1.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10713,BOI,M,Boise Air Terminal,ID,1.0,1.0,,2.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10721,BOS,L,Logan International,MA,2.0,,1.0,5.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10800,BUR,S,Bob Hope,CA,6.0,2.0,1.0,328.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10821,BWI,L,Baltimore/Washington International Thurgood Marshall,MD,503.0,196.0,92.0,63.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,10980,CHA,S,Lovell Field,TN,1.0,,,1.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11057,CLT,L,Charlotte Douglas International,NC,4.0,1.0,,2.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11085,CNM,,,NM,619.0,587.0,444.0,604.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11109,COS,S,City of Colorado Springs Municipal,CO,1.0,2.0,7.0,2.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11140,CRP,N,Corpus Christi International,TX,1.0,,1.0,2.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11150,CSG,N,Columbus Airport,GA,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11197,CVN,,Clovis Regional,NM,12.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11259,DAL,M,Dallas Love Field,TX,1666.0,1191.0,1128.0,1451.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11292,DEN,L,Denver International,CO,2710.0,1967.0,2100.0,2424.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11298,DFW,L,Dallas/Fort Worth International,TX,2666.0,1897.0,2347.0,2159.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11413,DRO,N,Durango La Plata County,CO,2.0,3.0,2.0,3.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11423,DSM,S,Des Moines International,IA,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11433,DTW,L,Detroit Metro Wayne County,MI,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11540,ELP,S,El Paso International,TX,8.0,2.0,10.0,4.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11618,EWR,L,Newark Liberty International,NJ,1.0,1.0,,1.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11637,FAR,S,Hector International,ND,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11695,FLG,N,Flagstaff Pulliam,AZ,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11921,GJT,N,Grand Junction Regional,CO,3.0,,2.0,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,11982,GRK,N,Robert Gray AAF,TX,1.0,,1.0,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12012,GUC,N,Gunnison-Crested Butte Regional,CO,1.0,,0.0,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12191,HOU,M,William P Hobby,TX,1029.0,334.0,722.0,710.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12206,HRL,S,Valley International,TX,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12264,IAD,L,Washington Dulles International,VA,1.0,,,1.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12266,IAH,L,George Bush Intercontinental/Houston,TX,1420.0,817.0,1193.0,1194.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12339,IND,M,Indianapolis International,IN,4.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12478,JFK,L,John F. Kennedy International,NY,300.0,104.0,200.0,324.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12889,LAS,L,Harry Reid International,NV,1376.0,890.0,907.0,1325.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12891,LAW,N,Lawton-Fort Sill Regional,OK,1.0,,1.0,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12892,LAX,L,Los Angeles International,CA,2535.0,1089.0,1748.0,2280.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12896,LBB,S,Lubbock Preston Smith International,TX,3.0,,2.0,1.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12915,LCH,N,Lake Charles Regional,LA,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,12954,LGB,S,Long Beach Airport,CA,3.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13158,MAF,S,Midland International Air and Space Port,TX,5.0,,1.0,2.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13198,MCI,M,Kansas City International,MO,344.0,80.0,6.0,2.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13204,MCO,L,Orlando International,FL,61.0,3.0,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13232,MDW,L,Chicago Midway International,IL,598.0,446.0,389.0,406.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13485,MSN,S,Dane County Regional-Truax Field,WI,2.0,,1.0,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13487,MSP,L,Minneapolis-St Paul International,MN,212.0,2.0,45.0,63.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13502,MTJ,N,Montrose Regional,CO,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13796,OAK,M,Metro Oakland International,CA,842.0,345.0,263.0,297.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13851,OKC,S,Will Rogers World,OK,4.0,1.0,2.0,4.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13871,OMA,M,Eppley Airfield,NE,2.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13891,ONT,M,Ontario International,CA,1.0,1.0,4.0,2.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,13930,ORD,L,Chicago O'Hare International,IL,1197.0,520.0,858.0,812.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14004,PAE,N,Snohomish County,WA,2.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14057,PDX,M,Portland International,OR,353.0,175.0,287.0,282.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14100,PHL,L,Philadelphia International,PA,2.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14107,PHX,L,Phoenix Sky Harbor International,AZ,3493.0,2241.0,2478.0,2491.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14122,PIT,M,Pittsburgh International,PA,2.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14237,PRC,N,Prescott Regional Ernest A Love Field,AZ,1.0,,1.0,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14492,RDU,M,Raleigh-Durham International,NC,1.0,,,
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14570,RNO,M,Reno/Tahoe International,NV,0.0,,2.0,0.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14588,ROW,N,Roswell Air Center,NM,3.0,,,2.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14674,SAF,N,Santa Fe Municipal,NM,8.0,4.0,2.0,9.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14679,SAN,L,San Diego International,CA,978.0,158.0,74.0,368.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14683,SAT,M,San Antonio International,TX,11.0,46.0,8.0,25.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,14747,SEA,L,Seattle/Tacoma International,WA,554.0,355.0,359.0,399.0
