ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category
11092,CNY,UT,Canyonlands Regional,Moab,10k-100k,yes,gain,7.8,less than 10%
11097,COD,WY,Yellowstone Regional,Cody,10k-100k,yes,loss,-12.1,at least -10%
11109,COS,CO,City of Colorado Springs Municipal,Colorado Springs,100k-1 million,no,gain,9.3,less than 10%
11111,COU,MO,Columbia Regional,Columbia,100k-1 million,no,loss,-47.7,at least -30%
11122,CPR,WY,Casper/Natrona County International,Casper,10k-100k,no,loss,-23.6,at least -20%
11123,CPS,MO,Bi-State Parks,St. Louis,less than 10k,no,gain,,other
11140,CRP,TX,Corpus Christi International,Corpus Christi,100k-1 million,no,loss,-11.7,at least -10%
11146,CRW,WV,West Virginia International Yeager,Charleston/Dunbar,100k-1 million,no,loss,-36.8,at least -30%
11150,CSG,GA,Columbus Airport,Columbus,10k-100k,no,gain,58.2,at least 30%
11193,CVG,KY,Cincinnati/Northern Kentucky International,Cincinnati,1-5 million,no,loss,-26.3,at least -20%
11197,CVN,NM,Clovis Regional,Clovis,less than 10k,yes,loss,-35.3,at least -30%
11203,CWA,WI,Central Wisconsin,Mosinee,100k-1 million,no,loss,-47.8,at least -30%
11233,CYS,WY,Cheyenne Regional/Jerry Olson Field,Cheyenne,10k-100k,no,gain,15.2,at least 10%
11252,DAB,FL,Daytona Beach International,Daytona Beach,100k-1 million,no,loss,-19.3,at least -10%
11259,DAL,TX,Dallas Love Field,Dallas,more than 5 million,no,loss,-11.6,at least -10%
11267,DAY,OH,James M Cox/Dayton International,Dayton,100k-1 million,no,loss,-40.3,at least -30%
11274,DBQ,IA,Dubuque Regional,Dubuque,10k-100k,no,loss,-55.2,at least -30%
11278,DCA,VA,Ronald Reagan Washington National,Washington,more than 5 million,no,gain,1.2,less than 10%
11283,DDC,KS,Dodge City Regional,Dodge City,less than 10k,yes,loss,-35.4,at least -30%
11288,DEC,IL,Decatur Airport,Decatur,less than 10k,yes,loss,-45.4,at least -30%
11292,DEN,CO,Denver International,Denver,more than 5 million,no,loss,-3.8,less than -10%
11298,DFW,TX,Dallas/Fort Worth International,Dallas/Fort Worth,more than 5 million,no,loss,-9.8,less than -10%
11308,DHN,AL,Dothan Regional,Dothan,10k-100k,no,loss,-32.5,at least -30%
11315,DIK,ND,Dickinson - Theodore Roosevelt Regional,Dickinson,10k-100k,yes,loss,-6.4,less than -10%
11337,DLH,MN,Duluth International,Duluth,100k-1 million,no,loss,-29.7,at least -20%
11348,DMN,NM,Deming Municipal,Deming,less than 10k,no,gain,,other
11413,DRO,CO,Durango La Plata County,Durango,100k-1 million,no,loss,-15.4,at least -10%
11415,DRT,TX,Del Rio International,Del Rio,10k-100k,no,loss,-4.3,less than -10%
11421,DSI,FL,Destin Executive,Destin,less than 10k,no,loss,-94.7,at least -30%
11423,DSM,IA,Des Moines International,Des Moines,1-5 million,no,loss,-19.7,at least -10%
11431,DTR,WA,Decatur,Decatur Island,less than 10k,no,unchanged,,other
11433,DTW,MI,Detroit Metro Wayne County,Detroit,more than 5 million,no,loss,-28.6,at least -20%
11441,DUJ,PA,DuBois Regional,DuBois,less than 10k,yes,loss,-3.4,less than -10%
11447,DVL,ND,Devils Lake Regional,Devils Lake,less than 10k,yes,gain,4,less than 10%
11450,DVT,AZ,Phoenix - Deer Valley,Phoenix,less than 10k,no,unchanged,,other
11468,EAR,NE,Kearney Regional,Kearney,10k-100k,yes,gain,5,less than 10%
