AIRCRAFT_TYPE,Description,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
442,Aerospatiale/Aeritalia ATR-72,20401.0,Silver Airways,107.0,1119.0,2793.0,3114.0
469,British Aerospace Jetstream 31,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,732.0,0.0,0.0,0.0
675,Embraer-145,21477.0,Via Airlines d/b/a Sterling Airways,418.0,0.0,0.0,0.0
479,Pilatus PC-12,21894.0,"ADVANCED AIR, LLC",1406.0,739.0,623.0,1142.0
35,Cessna C206/207/209/210 Stationair,21636.0,Gem Air LLC,63.0,36.0,22.0,0.0
36,Cessna 172 Skyhawk,21636.0,Gem Air LLC,4.0,7.0,3.0,0.0
194,Piper PA-31 (Navajo)/T-1020,21636.0,Gem Air LLC,30.0,23.0,20.0,0.0
195,Piper PA-34/39 (Twin Commanche),21636.0,Gem Air LLC,13.0,6.0,6.0,0.0
416,Cessna 208 Caravan,21636.0,Gem Air LLC,31.0,20.0,18.0,0.0
461,Embraer EMB-120 Brasilia,21477.0,Via Airlines d/b/a Sterling Airways,4.0,0.0,0.0,0.0
479,Pilatus PC-12,21080.0,Tradewind Aviation,1351.0,1278.0,1245.0,1671.0
133,Beech 65/65A-80/65B-80 (Queen Air),20257.0,Bemidji Airlines,1.0,0.0,1.0,1.0
79,Piper PA-32 (Cherokee 6),20273.0,New England Airlines Inc.,34.0,13.0,128.0,6.0
131,Pilatus Britten-Norman BN2/A Islander,20273.0,New England Airlines Inc.,8208.0,6497.0,7930.0,7438.0
30,Cessna 180,20272.0,Kenmore Air Harbor,12.0,8.0,0.0,1.0
40,De Havilland DHC2 Beaver,20272.0,Kenmore Air Harbor,785.0,438.0,483.0,820.0
42,De Havilland DHC3 Otter,20272.0,Kenmore Air Harbor,2634.0,730.0,1647.0,1818.0
91,Float/Amphib Turbine,20272.0,Kenmore Air Harbor,222.0,110.0,270.0,314.0
40,De Havilland DHC2 Beaver,20289.0,Friday Harbor Seaplanes,470.0,289.0,738.0,641.0
416,Cessna 208 Caravan,20272.0,Kenmore Air Harbor,3760.0,1497.0,2594.0,3460.0
721,Airbus Industrie A321-200n,20409.0,JetBlue Airways,0.0,776.0,8090.0,8158.0
724,A220-300 BD-500-1A11,19790.0,Delta Air Lines Inc.,0.0,194.0,9255.0,16436.0
675,Embraer-145,21879.0,Key Lime Air Corporation,0.0,367.0,2046.0,4210.0
626,Boeing 767-300/300ER,21492.0,"Eastern Airlines f/k/a Dynamic Airways, LLC",0.0,1.0,0.0,2.0
675,Embraer-145,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,0.0,80.0,893.0,1905.0
131,Pilatus Britten-Norman BN2/A Islander,21636.0,Gem Air LLC,0.0,5.0,12.0,0.0
479,Pilatus PC-12,20330.0,Ryan Air f/k/a Arctic Transportation,0.0,1.0,0.0,0.0
625,Boeing 767-200/ER/EM,21492.0,"Eastern Airlines f/k/a Dynamic Airways, LLC",0.0,2.0,0.0,0.0
724,A220-300 BD-500-1A11,20409.0,JetBlue Airways,0.0,0.0,2501.0,12225.0
838,Boeing B737 Max 800,19977.0,United Air Lines Inc.,0.0,0.0,5357.0,21518.0
677,Embraer-Emb-170,20398.0,Envoy Air,0.0,0.0,1972.0,9223.0
449,Dornier 328,21894.0,"ADVANCED AIR, LLC",0.0,0.0,132.0,576.0
839,Boeing B737 Max 900,19930.0,Alaska Airlines Inc.,0.0,0.0,3539.0,22948.0
