AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
21636,Gem Air LLC,416,Cessna 208 Caravan,31,20,18,0
21477,Via Airlines d/b/a Sterling Airways,461,Embraer EMB-120 Brasilia,4,0,0,0
21080,Tradewind Aviation,479,Pilatus PC-12,1351,1278,1245,1671
20257,Bemidji Airlines,133,Beech 65/65A-80/65B-80 (Queen Air),1,0,1,1
20273,New England Airlines Inc.,79,Piper PA-32 (Cherokee 6),34,13,128,6
20273,New England Airlines Inc.,131,Pilatus Britten-Norman BN2/A Islander,8208,6497,7930,7438
20272,Kenmore Air Harbor,30,Cessna 180,12,8,0,1
20272,Kenmore Air Harbor,40,De Havilland DHC2 Beaver,785,438,483,820
20272,Kenmore Air Harbor,42,De Havilland DHC3 Otter,2634,730,1647,1818
20272,Kenmore Air Harbor,91,Float/Amphib Turbine,222,110,270,314
20289,Friday Harbor Seaplanes,40,De Havilland DHC2 Beaver,470,289,738,641
20272,Kenmore Air Harbor,416,Cessna 208 Caravan,3760,1497,2594,3460
20409,JetBlue Airways,721,Airbus Industrie A321-200n,0,776,8090,8158
19790,Delta Air Lines Inc.,724,A220-300 BD-500-1A11,0,194,9255,16436
21879,Key Lime Air Corporation,675,Embraer-145,0,367,2046,4210
21492,"Eastern Airlines f/k/a Dynamic Airways, LLC",626,Boeing 767-300/300ER,0,1,0,2
21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,675,Embraer-145,0,80,893,1905
21636,Gem Air LLC,131,Pilatus Britten-Norman BN2/A Islander,0,5,12,0
20330,Ryan Air f/k/a Arctic Transportation,479,Pilatus PC-12,0,1,0,0
21492,"Eastern Airlines f/k/a Dynamic Airways, LLC",625,Boeing 767-200/ER/EM,0,2,0,0
20409,JetBlue Airways,724,A220-300 BD-500-1A11,0,0,2501,12225
19977,United Air Lines Inc.,838,Boeing B737 Max 800,0,0,5357,21518
20398,Envoy Air,677,Embraer-Emb-170,0,0,1972,9223
21894,"ADVANCED AIR, LLC",449,Dornier 328,0,0,132,576
19930,Alaska Airlines Inc.,839,Boeing B737 Max 900,0,0,3539,22948
20207,TEM Enterprises dba  Avelo Airlines,612,Boeing 737-700/700LR/Max 7,0,0,678,5812
20207,TEM Enterprises dba  Avelo Airlines,614,Boeing 737-800,0,0,2314,4102
22081,"Tailwind Air, LLC",415,Cessna C208B/Grand Caravan,0,0,11,82
21712,Elite Airways LLC,638,Canadair CRJ 900,0,0,261,29
22080,Breeze Aviation Group DBA  Breeze,678,Embraer 190,0,0,3476,5451
22080,Breeze Aviation Group DBA  Breeze,748,Embraer EMB195,0,0,1765,3788
21835,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",194,Piper PA-31 (Navajo)/T-1020,0,0,12,0
20272,Kenmore Air Harbor,479,Pilatus PC-12,0,0,8,3
21618,"Southern Airways Express, dba Mokulele Airlines",415,Cessna C208B/Grand Caravan,0,0,0,13084
19790,Delta Air Lines Inc.,721,Airbus Industrie A321-200n,0,0,0,3907
20436,Frontier Airlines Inc.,721,Airbus Industrie A321-200n,0,0,0,328
21618,"Southern Airways Express, dba Mokulele Airlines",458,Beechcraft Super King Air,0,0,0,12
22080,Breeze Aviation Group DBA  Breeze,724,A220-300 BD-500-1A11,0,0,0,3410
22080,Breeze Aviation Group DBA  Breeze,617,Boeing 737-400,0,0,0,2
22080,Breeze Aviation Group DBA  Breeze,694,Airbus Industrie A320-100/200,0,0,0,51
21618,"Southern Airways Express, dba Mokulele Airlines",479,Pilatus PC-12,0,0,0,340
21894,"ADVANCED AIR, LLC",609,Bombardier BD-100-1A10 Challenger 300,0,0,0,1
