ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
11986,GRR,MI,Gerald R. Ford International,Grand Rapids,1797756,860656,1456839,1726368
11995,GSO,NC,Piedmont Triad International,Greensboro/High Point,1082150,383346,627039,792288
11996,GSP,SC,Greenville-Spartanburg International,Greer,1276972,516020,893337,1089615
12003,GTF,MT,Great Falls International,Great Falls,174442,79332,132628,141829
12007,GTR,MS,Golden Triangle Regional,Columbus,49874,20544,34534,41032
12012,GUC,CO,Gunnison-Crested Butte Regional,Gunnison,36233,28540,38756,50768
12094,HDN,CO,Yampa Valley,Hayden,106357,87782,152748,200603
12119,HGR,MD,Hagerstown Regional-Richard A. Henson Field,Hagerstown,29062,14325,23106,32052
12124,HHH,SC,Hilton Head Airport,Hilton Head,110230,73569,176336,114340
12129,HIB,MN,Range Regional,Hibbing,17163,8024,12320,12863
12156,HLN,MT,Helena Regional,Helena,118300,46974,71442,82323
12177,HOB,NM,Lea County Regional,Hobbs,27765,9080,11970,17877
12191,HOU,TX,William P Hobby,Houston,6829752,3055579,5383700,6185321
12197,HPN,NY,Westchester County,White Plains,863562,234873,534155,892513
12206,HRL,TX,Valley International,Harlingen/San Benito,334755,172288,306616,428719
12217,HSV,AL,Huntsville International-Carl T Jones Field,Huntsville,713574,276440,462634,592300
12223,HTS,WV,Tri-State/Milton J. Ferguson Field,Ashland,106951,57669,93397,89492
12244,HVN,CT,Tweed New Haven,New Haven,48642,11367,29560,351690
12250,HYA,MA,Cape Cod Gateway,Hyannis,24071,9679,19243,15221
12255,HYS,KS,Hays Regional,Hays,27558,9347,11086,15926
12264,IAD,VA,Washington Dulles International,Washington,7803701,2933490,5594821,6711550
12265,IAG,NY,Niagara Falls International,Niagara Falls,122017,42087,42468,58451
12266,IAH,TX,George Bush Intercontinental/Houston,Houston,16530581,6956005,13119363,15297731
12278,ICT,KS,Wichita Dwight D Eisenhower National,Wichita,879070,391179,637317,788123
12280,IDA,ID,Idaho Falls Regional,Idaho Falls,177340,101538,219781,309673
12323,ILM,NC,Wilmington International,Wilmington,540935,245761,463903,537261
12335,IMT,MI,Ford,Iron Mountain/Kingsfd,22206,10464,14863,21335
12339,IND,IN,Indianapolis International,Indianapolis,4672874,1985951,3488294,4200232
12343,INL,MN,Falls International Einarson Field,International Falls,17066,5542,8257,11951
12365,IPT,PA,Williamsport Regional,Williamsport,20256,6847,4110,0
12391,ISP,NY,Long Island MacArthur,Islip,780620,263769,556513,616815
12397,ITH,NY,Ithaca Tompkins International,Ithaca/Cortland,109236,33081,57851,56326
12441,JAC,WY,Jackson Hole,Jackson,443456,275995,497251,399510
12448,JAN,MS,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,550997,214176,485326,632610
12451,JAX,FL,Jacksonville International,Jacksonville,3514549,1381455,2438539,3187642
12478,JFK,NY,John F. Kennedy International,New York,14109730,4111653,8944945,13995738
12511,JLN,MO,Joplin Regional,Joplin,47625,24957,26480,20662
12519,JMS,ND,Jamestown Regional,Jamestown,19253,10560,20386,17825
12544,USA,NC,Concord Padgett Regional,Concord,179126,86153,138068,122599
12884,LAN,MI,Capital Region International,Lansing,162955,58274,89889,78465
12888,LAR,WY,Laramie Regional,Laramie,18224,8935,16171,16707
12889,LAS,NV,Harry Reid International,Las Vegas,22977687,10261651,18753963,24250475
12891,LAW,OK,Lawton-Fort Sill Regional,Lawton/Fort Sill,51625,21994,38848,41099
12892,LAX,CA,Los Angeles International,Los Angeles,30562787,10960320,19869665,24550313
12896,LBB,TX,Lubbock Preston Smith International,Lubbock,536062,254616,407284,493721
12898,LBE,PA,Arnold Palmer Regional,Latrobe,155429,62177,122533,122560
12899,LBF,NE,North Platte Regional Airport Lee Bird Field,North Platte,15970,9311,13810,13461
12902,LBL,KS,Liberal Mid-America Regional,Liberal,6923,2926,6567,12414
12915,LCH,LA,Lake Charles Regional,Lake Charles,63090,32154,52775,61341
12917,LCK,OH,Rickenbacker International,Columbus,151495,104246,147767,147003
12932,LEB,NH,Lebanon Municipal,Lebanon-Hanover,10091,3656,7492,9609
12945,LEX,KY,Blue Grass,Lexington,704920,284220,460832,572005
12951,LFT,LA,Lafayette Regional Paul Fournet Field,Lafayette,264969,120482,206579,224674
12953,LGA,NY,LaGuardia,New York,14286312,3947103,7677576,13729503
12954,LGB,CA,Long Beach Airport,Long Beach,1750934,517637,1106368,1686624
12992,LIT,AR,Bill and Hillary Clinton Nat Adams Field,Little Rock,1105261,472349,843576,1009374
13002,LKE,WA,Lake Union Terminal,Seattle,11538,5416,13069,10644
13029,LNK,NE,Lincoln Airport,Lincoln,163199,50609,88984,91267
13061,LRD,TX,Laredo International,Laredo,90818,41987,87707,110300
13076,LSE,WI,La Crosse Regional,La Crosse,94813,42875,80070,62386
13121,LWB,WV,Greenbrier Valley,Lewisburg,12667,3786,10393,14636
13127,LWS,ID,Lewiston Nez Perce County,Lewiston,38022,15412,30721,41618
13139,LYH,VA,Lynchburg Regional/Preston Glenn Field,Lynchburg,91094,44272,68931,75373
13158,MAF,TX,Midland International Air and Space Port,Midland/Odessa,690084,327485,524606,662240
13184,MBS,MI,MBS International,Saginaw/Bay City/Midland,132582,47173,67556,69261
13198,MCI,MO,Kansas City International,Kansas City,5848953,2194735,3841990,4855237
13203,MCN,GA,Middle Georgia Regional,Macon,15091,6873,11295,11968
13204,MCO,FL,Orlando International,Orlando,21233624,9744813,18777217,21898303
13230,MDT,PA,Harrisburg International,Harrisburg,750978,315806,511881,623983
13232,MDW,IL,Chicago Midway International,Chicago,9861975,4201484,7587712,9546142
