ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,total_2019,total_2022,total_50s_2019,pct_50_2019,total_50s_2022,pct_50_2022
11540,TX,ELP,"El Paso, TX: El Paso International",19490,17845,1842,9.451000513,1126,6.309890726
12954,CA,LGB,"Long Beach, CA: Long Beach Airport",15975,15327,0,0,0,0
10599,AL,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",20631,14992,4688,22.72308662,2143,14.29429029
15370,OK,TUL,"Tulsa, OK: Tulsa International",18303,16272,3483,19.02966727,2720,16.71583088
10257,NY,ALB,"Albany, NY: Albany International",18020,14385,5914,32.8190899,2567,17.84497741
14761,FL,SFB,"Sanford, FL: Orlando Sanford International",10755,8836,81,0.753138075,0,0
14685,GA,SAV,"Savannah, GA: Savannah/Hilton Head International",18568,18498,3070,16.53382163,563,3.043572278
11423,IA,DSM,"Des Moines, IA: Des Moines International",18251,14656,2618,14.34441948,973,6.638919214
13577,SC,MYR,"Myrtle Beach, SC: Myrtle Beach International",11932,16521,314,2.631578947,165,0.998728891
14576,NY,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",18369,15667,6253,34.04104742,3405,21.73358014
11996,SC,GSP,"Greer, SC: Greenville-Spartanburg International",17916,13953,4474,24.97209198,1316,9.431663442
15096,NY,SYR,"Syracuse, NY: Syracuse Hancock International",17298,15282,5174,29.91097237,2034,13.30977621
15412,TN,TYS,"Knoxville, TN: McGhee Tyson",21144,15942,9832,46.50018918,4043,25.36068247
13485,WI,MSN,"Madison, WI: Dane County Regional-Truax Field",16039,11758,3208,20.00124696,1594,13.55672733
14112,FL,PIE,"St. Petersburg, FL: St Pete Clearwater International",7697,7661,0,0,0,0
14193,FL,PNS,"Pensacola, FL: Pensacola International",14173,12139,1890,13.33521485,761,6.269050169
12992,AR,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",15137,12287,3441,22.73237762,2726,22.1860503
14321,ME,PWM,"Portland, ME: Portland International Jetport",14792,11380,4820,32.58518118,797,7.003514938
14262,CA,PSP,"Palm Springs, CA: Palm Springs International",12653,14804,2233,17.64798862,995,6.721156444
11995,NC,GSO,"Greensboro/High Point, NC: Piedmont Triad International",18342,12066,8606,46.91963799,2520,20.88513178
14986,FL,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",8647,15184,75,0.867352839,0,0
