AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,AIRCRAFT_FAMILY,2019,2020,2021,2022
20272.0,Kenmore Air Harbor,416,Cessna 208 Caravan,Single turboprop,3760.0,1497.0,2594.0,3460.0
21599.0,Boutique Air,458,Beechcraft Super King Air,Small twin turboprop,1825.0,2299.0,4738.0,1213.0
21894.0,"ADVANCED AIR, LLC",458,Beechcraft Super King Air,Small twin turboprop,1508.0,1253.0,1283.0,1769.0
21964.0,"Rectrix Aviation, Inc.",458,Beechcraft Super King Air,Small twin turboprop,3962.0,0.0,0.0,0.0
21618.0,"Southern Airways Express, dba Mokulele Airlines",458,Beechcraft Super King Air,Small twin turboprop,0.0,0.0,0.0,12.0
19687.0,Horizon Air,482,De Havilland DHC8-400 Dash-8,Dash 8,73211.0,49321.0,56923.0,43261.0
21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,674,Embraer-135,Embraer ERJ,9118.0,7511.0,6922.0,8035.0
21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,669,Bombardier Challenger 604/605,Bombardier CRJ,199.0,51.0,14.0,13.0
21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,685,Cessna 510 Mustang/560XL Citation Excel,Business jet,2.0,0.0,0.0,0.0
21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,658,Bombardier BD-700 Global Express,Bombardier CRJ,3.0,0.0,0.0,0.0
20401.0,Silver Airways,441,Aerospatiale/Aeritalia ATR-42,ATR-42/72,2019.0,4759.0,6817.0,6090.0
20401.0,Silver Airways,456,Saab-Fairchild 340/B,Small twin turboprop,12527.0,1099.0,150.0,0.0
20257.0,Bemidji Airlines,403,Beech 99 Airliner,Small twin turboprop,160.0,221.0,115.0,117.0
20257.0,Bemidji Airlines,404,Beech C99,Small twin turboprop,283.0,250.0,315.0,111.0
21712.0,Elite Airways LLC,628,Canadair RJ-100/RJ-100ER,Bombardier CRJ,91.0,0.0,0.0,0.0
20401.0,Silver Airways,442,Aerospatiale/Aeritalia ATR-72,ATR-42/72,107.0,1119.0,2793.0,3114.0
21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,469,British Aerospace Jetstream 31,Small twin turboprop,732.0,0.0,0.0,0.0
21636.0,Gem Air LLC,35,Cessna C206/207/209/210 Stationair,Single turboprop,63.0,36.0,22.0,0.0
21636.0,Gem Air LLC,36,Cessna 172 Skyhawk,Single turboprop,4.0,7.0,3.0,0.0
