ORIGIN_AIRPORT_ID,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10184,"Allakaket, AK: Allakaket Airport",20333.0,Wright Air Service,416.0,207.0,199.0,178.0,219.0,192.0,235.0,307.0,334.0,235.0,211.0,164.0,223.0,2704.0
10184,"Allakaket, AK: Allakaket Airport",20336.0,Hageland Aviation Service,405.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
10184,"Allakaket, AK: Allakaket Airport",20408.0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,479.0,0.0,,,,,,,,,,,,0.0
10185,"Alexandria, LA: Alexandria International",20363.0,Endeavor Air Inc.,629.0,3760.0,3523.0,3544.0,4304.0,4910.0,4748.0,4709.0,4342.0,4097.0,4630.0,4055.0,4895.0,51517.0
10185,"Alexandria, LA: Alexandria International",20366.0,ExpressJet Airlines LLC d/b/a aha!,675.0,1881.0,2031.0,2787.0,2837.0,2893.0,2062.0,2038.0,1803.0,2339.0,3142.0,2613.0,2946.0,29372.0
10185,"Alexandria, LA: Alexandria International",20398.0,Envoy Air,675.0,166.0,271.0,191.0,801.0,968.0,528.0,323.0,299.0,109.0,76.0,539.0,657.0,4928.0
10185,"Alexandria, LA: Alexandria International",20398.0,Envoy Air,676.0,2566.0,2208.0,2732.0,1960.0,2427.0,2729.0,2905.0,2663.0,2616.0,3061.0,2509.0,3019.0,31395.0
10204,"Angoon, AK: Angoon Seaplane Base",20337.0,Kalinin Aviation LLC d/b/a Alaska Seaplanes,35.0,26.0,46.0,78.0,65.0,19.0,12.0,13.0,36.0,24.0,4.0,11.0,14.0,348.0
10204,"Angoon, AK: Angoon Seaplane Base",20337.0,Kalinin Aviation LLC d/b/a Alaska Seaplanes,40.0,7.0,28.0,80.0,145.0,112.0,95.0,137.0,128.0,136.0,132.0,48.0,30.0,1078.0
10204,"Angoon, AK: Angoon Seaplane Base",20337.0,Kalinin Aviation LLC d/b/a Alaska Seaplanes,416.0,93.0,43.0,,6.0,115.0,145.0,155.0,168.0,96.0,80.0,179.0,162.0,1242.0
10208,"Augusta, GA: Augusta Regional at Bush Field",19790.0,Delta Air Lines Inc.,608.0,7158.0,7736.0,307.0,2338.0,,,,,,,104.0,1998.0,19641.0
10208,"Augusta, GA: Augusta Regional at Bush Field",20304.0,SkyWest Airlines Inc.,629.0,38.0,,1458.0,90.0,50.0,105.0,,,96.0,,49.0,,1886.0
10208,"Augusta, GA: Augusta Regional at Bush Field",20363.0,Endeavor Air Inc.,629.0,5243.0,4864.0,4669.0,2006.0,5194.0,5043.0,7511.0,6432.0,3040.0,4667.0,3163.0,5581.0,57413.0
10208,"Augusta, GA: Augusta Regional at Bush Field",20363.0,Endeavor Air Inc.,638.0,1384.0,270.0,3513.0,6477.0,5939.0,4011.0,1133.0,2244.0,3753.0,2627.0,4326.0,4800.0,40477.0
10208,"Augusta, GA: Augusta Regional at Bush Field",20397.0,PSA Airlines Inc.,631.0,5361.0,5466.0,6301.0,4564.0,4805.0,3156.0,2864.0,2455.0,4493.0,4492.0,4640.0,3902.0,52499.0
10208,"Augusta, GA: Augusta Regional at Bush Field",20397.0,PSA Airlines Inc.,638.0,257.0,592.0,842.0,2995.0,340.0,1644.0,2152.0,2063.0,2643.0,3093.0,1673.0,3244.0,21538.0
10208,"Augusta, GA: Augusta Regional at Bush Field",20427.0,Piedmont Airlines,675.0,2198.0,1542.0,1457.0,2133.0,2673.0,2837.0,2850.0,3382.0,1617.0,1200.0,1953.0,2315.0,26157.0
10221,"Alliance, NE: Alliance Municipal",21599.0,Boutique Air,479.0,289.0,303.0,256.0,331.0,202.0,,8.0,,,,,,1389.0
10225,"Wainwright, AK: Wainwright Airport",20336.0,Hageland Aviation Service,405.0,41.0,72.0,139.0,99.0,117.0,113.0,125.0,98.0,111.0,52.0,55.0,136.0,1158.0
10225,"Wainwright, AK: Wainwright Airport",20336.0,Hageland Aviation Service,416.0,189.0,186.0,216.0,219.0,238.0,260.0,207.0,322.0,260.0,282.0,236.0,226.0,2841.0
10237,"Atka, AK: Atka Airport",20455.0,Grant Aviation,406.0,13.0,7.0,24.0,20.0,33.0,12.0,31.0,35.0,27.0,23.0,16.0,26.0,267.0
10241,"Akiak, AK: Akiak Airport",20336.0,Hageland Aviation Service,35.0,76.0,52.0,111.0,180.0,106.0,125.0,94.0,83.0,129.0,169.0,120.0,91.0,1336.0
10241,"Akiak, AK: Akiak Airport",21820.0,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",35.0,71.0,39.0,60.0,159.0,107.0,,69.0,67.0,66.0,78.0,111.0,77.0,904.0
10241,"Akiak, AK: Akiak Airport",21820.0,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",36.0,1.0,0.0,17.0,13.0,,,6.0,5.0,6.0,7.0,10.0,17.0,82.0
10241,"Akiak, AK: Akiak Airport",21820.0,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",79.0,12.0,31.0,26.0,65.0,21.0,,22.0,17.0,43.0,33.0,28.0,16.0,314.0
10243,"Akhiok, AK: Akhiok Airport",20443.0,Island Air Service,79.0,18.0,19.0,21.0,24.0,25.0,35.0,64.0,,90.0,31.0,28.0,24.0,379.0
