ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20366,ExpressJet Airlines LLC d/b/a aha!,673,Embraer ERJ-175,468.0,343.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20366,ExpressJet Airlines LLC d/b/a aha!,675,Embraer-145,8.0,2.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20427,Piedmont Airlines,675,Embraer-145,1.0,,1.0,1.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20398,Envoy Air,675,Embraer-145,1.0,,,1.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20452,Republic Airline,677,Embraer-Emb-170,1690.0,1131.0,680.0,448.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,678,Embraer 190,1824.0,508.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20409,JetBlue Airways,678,Embraer 190,822.0,539.0,1966.0,649.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,687,Airbus Industrie A330-300/333,362.0,457.0,1706.0,1048.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,687,Airbus Industrie A330-300/333,3.0,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,694,Airbus Industrie A320-100/200,11416.0,7543.0,14768.0,22938.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,694,Airbus Industrie A320-100/200,1501.0,642.0,592.0,804.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,694,Airbus Industrie A320-100/200,951.0,624.0,539.0,904.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20409,JetBlue Airways,694,Airbus Industrie A320-100/200,2478.0,1057.0,362.0,1064.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20416,Spirit Air Lines,694,Airbus Industrie A320-100/200,4959.0,3199.0,4572.0,3306.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20436,Frontier Airlines Inc.,694,Airbus Industrie A320-100/200,912.0,360.0,727.0,753.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,696,Airbus Industrie A330-200,8.0,52.0,1181.0,438.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,698,Airbus Industrie A319,1836.0,3853.0,5306.0,4770.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,698,Airbus Industrie A319,3350.0,1887.0,2503.0,1699.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,698,Airbus Industrie A319,1334.0,945.0,769.0,1531.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20416,Spirit Air Lines,698,Airbus Industrie A319,2281.0,696.0,292.0,2625.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20436,Frontier Airlines Inc.,698,Airbus Industrie A319,1.0,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,699,Airbus Industrie A321/Lr,29677.0,23480.0,44123.0,46476.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,699,Airbus Industrie A321/Lr,983.0,385.0,1897.0,3201.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20409,JetBlue Airways,699,Airbus Industrie A321/Lr,81.0,15.0,11.0,40.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20416,Spirit Air Lines,699,Airbus Industrie A321/Lr,1296.0,1555.0,1994.0,1870.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20436,Frontier Airlines Inc.,699,Airbus Industrie A321/Lr,778.0,90.0,227.0,272.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,721,Airbus Industrie A321-200n,2.0,,44.0,37.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20436,Frontier Airlines Inc.,722,Airbus Industrie A320-200n,2021.0,2035.0,4417.0,6442.0
