ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20416,Spirit Air Lines,698,Airbus Industrie A319,2281,696,292,2625
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20436,Frontier Airlines Inc.,698,Airbus Industrie A319,1,,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,699,Airbus Industrie A321/Lr,29677,23480,44123,46476
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,699,Airbus Industrie A321/Lr,983,385,1897,3201
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20409,JetBlue Airways,699,Airbus Industrie A321/Lr,81,15,11,40
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20416,Spirit Air Lines,699,Airbus Industrie A321/Lr,1296,1555,1994,1870
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20436,Frontier Airlines Inc.,699,Airbus Industrie A321/Lr,778,90,227,272
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,721,Airbus Industrie A321-200n,2,,44,37
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20436,Frontier Airlines Inc.,722,Airbus Industrie A320-200n,2021,2035,4417,6442
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20416,Spirit Air Lines,722,Airbus Industrie A320-200n,774,926,1762,2228
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,723,A200-100 BD-500-1A10,9,138,2,1
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393,Southwest Airlines Co.,838,Boeing B737 Max 800,225,,740,1284
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,838,Boeing B737 Max 800,9,,233,130
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,888,Boeing 737-900ER,35019,21214,35032,31482
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19930,Alaska Airlines Inc.,888,Boeing 737-900ER,553,417,495,482
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,888,Boeing 737-900ER,349,76,140,287
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20253,Cape Air,125,Cessna C-402/402A/402B,1161,1271,1796,1875
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",21253,"Multi-Aero, Inc. d/b/a Air Choice One",415,Cessna C208B/Grand Caravan,1879,1493,690,45
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20500,GoJet Airlines LLC d/b/a United Express,530,Bombardier CRJ550,2310,13719,16677,5503
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,608,Boeing 717-200,6998,2300,1629,2376
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,2,2,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,7479,2633,3789,5435
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19930,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,37,,1,2
