DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
94.00,15925.00,DL,19790,Delta Air Lines Inc.,DL,14908,SNA,"Santa Ana, CA",CA,10397,ATL,"Atlanta, GA",GA,622,9,F
94.00,16152.00,AA,19805,American Airlines Inc.,AA,12889,LAS,"Las Vegas, NV",NV,11298,DFW,"Dallas/Fort Worth, TX",TX,699,9,F
94.00,16789.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14908,SNA,"Santa Ana, CA",CA,622,9,F
95.00,0.00,KH,21634,Aloha Air Cargo,KH,12402,ITO,"Hilo, HI",HI,12173,HNL,"Honolulu, HI",HI,619,9,G
95.00,137.00,GV,20455,Grant Aviation,GV,10416,AUK,"Alakanuk, AK",AK,11550,EMK,"Emmonak, AK",AK,026,9,F
95.00,488.00,9K,20253,Cape Air,9K,11615,EWB,"New Bedford/Fall River, MA",MA,10154,ACK,"Nantucket, MA",MA,125,9,F
95.00,1320.00,YR,20424,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",YR,14081,PGA,"Page, AZ",AZ,14081,PGA,"Page, AZ",AZ,485,9,L
95.00,3664.00,MQ,20398,Envoy Air,MQ,14633,RST,"Rochester, MN",MN,13930,ORD,"Chicago, IL",IL,675,9,F
95.00,5558.00,YX,20452,Republic Airline,YX,13930,ORD,"Chicago, IL",IL,12339,IND,"Indianapolis, IN",IN,677,9,F
95.00,5707.00,OO,20304,SkyWest Airlines Inc.,OO,11433,DTW,"Detroit, MI",MI,13871,OMA,"Omaha, NE",NE,638,9,F
95.00,5789.00,9E,20363,Endeavor Air Inc.,9E,12197,HPN,"White Plains, NY",NY,10397,ATL,"Atlanta, GA",GA,638,9,F
95.00,5896.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,12197,HPN,"White Plains, NY",NY,638,9,F
95.00,6193.00,G7,20500,GoJet Airlines LLC d/b/a United Express,G7,11433,DTW,"Detroit, MI",MI,15016,STL,"St. Louis, MO",MO,638,9,F
95.00,9629.00,WN,19393,Southwest Airlines Co.,WN,14893,SMF,"Sacramento, CA",CA,14057,PDX,"Portland, OR",OR,612,9,F
95.00,10495.00,WN,19393,Southwest Airlines Co.,WN,13232,MDW,"Chicago, IL",IL,14730,SDF,"Louisville, KY",KY,612,9,F
95.00,10907.00,AA,19805,American Airlines Inc.,AA,11298,DFW,"Dallas/Fort Worth, TX",TX,11540,ELP,"El Paso, TX",TX,614,9,F
95.00,11152.00,AA,19805,American Airlines Inc.,AA,11278,DCA,"Washington, DC",VA,11057,CLT,"Charlotte, NC",NC,694,9,F
95.00,12239.00,WN,19393,Southwest Airlines Co.,WN,13796,OAK,"Oakland, CA",CA,11292,DEN,"Denver, CO",CO,612,9,F
95.00,12259.00,AA,19805,American Airlines Inc.,AA,11540,ELP,"El Paso, TX",TX,11298,DFW,"Dallas/Fort Worth, TX",TX,614,9,F
95.00,12834.00,UA,19977,United Air Lines Inc.,UA,11618,EWR,"Newark, NJ",NJ,15304,TPA,"Tampa, FL",FL,614,9,F
95.00,12932.00,AA,19805,American Airlines Inc.,AA,11298,DFW,"Dallas/Fort Worth, TX",TX,13303,MIA,"Miami, FL",FL,699,9,F
95.00,12954.00,AA,19805,American Airlines Inc.,AA,13930,ORD,"Chicago, IL",IL,11618,EWR,"Newark, NJ",NJ,614,9,F
95.00,14953.00,NK,20416,Spirit Air Lines,NK,12889,LAS,"Las Vegas, NV",NV,13796,OAK,"Oakland, CA",CA,694,9,F
95.00,19314.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14869,SLC,"Salt Lake City, UT",UT,623,9,F
95.00,19614.00,DL,19790,Delta Air Lines Inc.,DL,14869,SLC,"Salt Lake City, UT",UT,10397,ATL,"Atlanta, GA",GA,623,9,F
96.00,3394.00,MQ,20398,Envoy Air,MQ,13931,ORF,"Norfolk, VA",VA,13303,MIA,"Miami, FL",FL,675,9,F
96.00,3572.00,MQ,20398,Envoy Air,MQ,13930,ORD,"Chicago, IL",IL,11067,CMI,"Champaign/Urbana, IL",IL,675,9,F
96.00,3675.00,MQ,20398,Envoy Air,MQ,11067,CMI,"Champaign/Urbana, IL",IL,13930,ORD,"Chicago, IL",IL,675,9,F
96.00,3936.00,ZW,20046,Air Wisconsin Airlines Corp,ZW,15412,TYS,"Knoxville, TN",TN,13930,ORD,"Chicago, IL",IL,629,9,F
96.00,5292.00,OH,20397,PSA Airlines Inc.,OH,11057,CLT,"Charlotte, NC",NC,10397,ATL,"Atlanta, GA",GA,638,9,F
96.00,5395.00,YX,20452,Republic Airline,YX,11278,DCA,"Washington, DC",VA,11618,EWR,"Newark, NJ",NJ,673,9,F
96.00,5570.00,OO,20304,SkyWest Airlines Inc.,OO,13871,OMA,"Omaha, NE",NE,11433,DTW,"Detroit, MI",MI,638,9,F
96.00,11286.00,WN,19393,Southwest Airlines Co.,WN,13232,MDW,"Chicago, IL",IL,12191,HOU,"Houston, TX",TX,612,9,F
96.00,11297.00,WN,19393,Southwest Airlines Co.,WN,14107,PHX,"Phoenix, AZ",AZ,14831,SJC,"San Jose, CA",CA,612,9,F
96.00,11844.00,AA,19805,American Airlines Inc.,AA,11618,EWR,"Newark, NJ",NJ,13930,ORD,"Chicago, IL",IL,614,9,F
96.00,11864.00,WN,19393,Southwest Airlines Co.,WN,13198,MCI,"Kansas City, MO",MO,12889,LAS,"Las Vegas, NV",NV,612,9,F
96.00,11954.00,UA,19977,United Air Lines Inc.,UA,11042,CLE,"Cleveland, OH",OH,13930,ORD,"Chicago, IL",IL,614,9,F
96.00,12016.00,WN,19393,Southwest Airlines Co.,WN,12391,ISP,"Islip, NY",NY,10821,BWI,"Baltimore, MD",MD,612,9,F
96.00,13056.00,DL,19790,Delta Air Lines Inc.,DL,14683,SAT,"San Antonio, TX",TX,10397,ATL,"Atlanta, GA",GA,694,9,F
96.00,13491.00,AA,19805,American Airlines Inc.,AA,13930,ORD,"Chicago, IL",IL,13204,MCO,"Orlando, FL",FL,614,9,F
96.00,13531.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14683,SAT,"San Antonio, TX",TX,694,9,F
96.00,14030.00,WN,19393,Southwest Airlines Co.,WN,14107,PHX,"Phoenix, AZ",AZ,11292,DEN,"Denver, CO",CO,614,9,F
96.00,14320.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,12451,JAX,"Jacksonville, FL",FL,888,9,F
97.00,424.00,9K,20253,Cape Air,9K,13930,ORD,"Chicago, IL",IL,11288,DEC,"Decatur, IL",IL,125,9,F
97.00,450.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,13930,ORD,"Chicago, IL",IL,125,9,F
97.00,2737.00,MQ,20398,Envoy Air,MQ,11298,DFW,"Dallas/Fort Worth, TX",TX,15401,TXK,"Texarkana, AR",AR,676,9,F
97.00,2822.00,MQ,20398,Envoy Air,MQ,15401,TXK,"Texarkana, AR",AR,11298,DFW,"Dallas/Fort Worth, TX",TX,676,9,F
97.00,3746.00,ZW,20046,Air Wisconsin Airlines Corp,ZW,13930,ORD,"Chicago, IL",IL,13485,MSN,"Madison, WI",WI,629,9,F
97.00,3874.00,EV,20366,ExpressJet Airlines LLC d/b/a aha!,EV,13930,ORD,"Chicago, IL",IL,11977,GRB,"Green Bay, WI",WI,675,9,F
